ROC:     FPix_BpI_D1_BLD1_PNL2_PLQ2_ROC0
col00:   02110225344330311471266727521452643635160711014513142170142221554710700003440200
col01:   31545877767764773676787676577533635777453775466116477470675758367501150403105655
col02:   62637676477387731994675677887466567646747456275666763267754556377726221634153444
col03:   5577754577577767377C676677977777778556852667754667755745757577527516576723541156
col04:   70645646757188745777776787767767777677577477766672766455056367304621700606785313
col05:   776377766877678677785776777776757799957677774887647578777B7778677236405706154674
col06:   777356557627776676848687A7A77677779767584767774377637575768766674602634676463444
col07:   47778A568877777C897877988887A789778778757787467778777857776A77798636550565368270
col08:   7777679777678877C776778547677B777877A78867B7975753579557377766701645244542565657
col09:   75777786797868679797877A97877976789ABA8A7884787774688776876677775515676784507733
col10:   67786774798687885478989978789879777766777777583567777767677776776345126046435716
col11:   58777778AA69D76797A8A7777A88877A588777779587877777788486767787873766544416536441
col12:   77777796778777AA9A7A88B89A777B78786678677897786776777785757767854651567577035242
col13:   7887A7778867A78887B7979887986788777787776A788862767A7776885773765457663405586732
col14:   86877787777AF977789A979A77777C977777AC87A9779B5888587779477787775444767662746430
col15:   757757778778879978B87997B77879977A968989787779687A7798788877479A7558602655656547
col16:   5777754768A78787787B87886A699787B9987868A777888889778767577764571730756555177631
col17:   7774787778789987A87975D987778D98897978779B9AAA7787887BA7877767785676475667559454
col18:   736587778777A47989787987788877A79A7778987855798597787877789988667644747657733315
col19:   677877A67B778797787A77DA87A788D879A9777978B7B898A9798777779765476788973772732777
col20:   857767887A7C888577A87789778AA77778787897869879B77AA89978998777736567572618554687
col21:   8678969767B7D777AAAA8978778699788888C9AC77A7B9777979A577777857665467754765725767
col22:   767788689788798889888AA77A9C997888A87A8888796697977A777AAA85A8774376145624747533
col23:   768579887A887777A9787A88AB99A7ABAA777998B7A779CAB9879898884795961667C67667737887
col24:   9777777A37877867A788A97799A8B9799999EB8AAA977789C7978797B75675469371786356467477
col25:   7888B7D99787989899BAD9787897779B78BA87897A897988A68A9968776857697857667465648677
col26:   7A77A999BA9D9B7AA89A9AADD7978D98D99A8B9779CA7D99C9BC899DA88777878777777466777679
col27:   87777999A87AAA7ACDA7B98BB8CA9AAEB998ABADBAAC9D98878C69A78777776776535765777779A6
col28:   9877B7979A87DE9AEA9BDDAFCEDADAADADBA9CDDBEA8B9A8CDA897A9A8988789A977677756868577
col29:   98887C7B8AAB9A99ABDBAD998EE99A9DC7BBABC8AA9AEAD869A7AB889A99A6777877887877767787
col30:   A9A778877AABCBC9FD9ABFBCAAE8D8ADD8BFC8ADBA79BAADAB788C8C77787D67756777694C687797
col31:   789887A7A7A8C99999CA997DAAB9ABB8D79C8C9ADAA8C97BA99C898877777A798888978777677776
col32:   6C8A7998AAABBACECCAD88BFCEEAEDAACA99DAA988F9DAE9BBAA7778D98A598797846A8567978566
